ID,name,季节,温度,云,雨,水,前置,积分,信仰,激活,关闭,动画,报告
int,string,int,float,float,float,float,bool,int,int,List<int>,List<int>,string,string
0,降温,0,-305,0,0,0,FALSE,0,0,16、17,,hotE,
1,升温,0,273,0,0,0,FALSE,0,0,26、27、18,,coldE,
2,春异常,1,0,0,0,0,FALSE,0,0,,3,,
3,春正常,3,0,0,0,0,TRUE,0,0,,25,,
4,降水,0,0,0,0,-3000,FALSE,0,0,15,,floodE,
5,升水,0,0,0,0,100,FALSE,0,0,8、28,6、7、19,dryE,
6,干旱,0,0,0,0,-10,FALSE,7,25,5、2、30,,dry,干旱，田间干枯殆尽！
7,干旱前2,0,0,0,0,-10,FALSE,0,0,6、5,,,
8,干旱前1,0,0,0,0,-10,TRUE,0,0,7、5,,,
9,全年寒冷,0,280,0,0,0,TRUE,0,0,,10,,
10,无法种植,4,0,0,0,0,TRUE,10,15,9,,,今年全年气候寒冷，无法开展种植！
11,超暴雨,0,268,0,4500,0,TRUE,14,30,24、2、30,,rain,离谱的降雨，不要前往郊区！
12,暴雨,0,268,0,2000,0,TRUE,6,10,24、2、30,,,暴雨，席卷郊区！
13,超暴雪,0,-268,0,2500,0,TRUE,16,40,24、2、30,,snow,历史罕见的雪量，掩埋了郊区！
14,暴雪,0,-268,0,1000,0,TRUE,8,10,24、2、30,,,郊区居民，当心暴雪！
15,洪涝,0,268,0,0,5000,TRUE,6,15,4、2、30,,flood,郊区洪灾，庄稼被摧毁！
16,超高温,0,373,0,0,0,TRUE,5,20,0、2、30,17、21,hot,超高温度杀死郊区所有生物！
17,高温,0,313,0,0,0,TRUE,1,10,0、2、30,21,,热浪过境郊区！
18,冰雹,0,-260,2000,0,0,TRUE,11,20,1、2、30,,hail,天降冰雹，砸坏地里的庄稼！
19,沙尘暴,0,0,0,0,-10,FALSE,15,25,28、2、30,,dust,大风卷着沙子，冲进了郊区！
20,夏季冷,2,-278,0,0,0,TRUE,2,15,30,,,夏季温度过低，庄稼生长过慢！
21,冬季热,4,300,0,0,0,TRUE,2,15,,,,冬季温暖，可以提前多种一茬！
22,入秋,3,0,0,0,0,TRUE,0,0,21、3、29,30,,
23,入春,1,0,0,0,0,TRUE,0,0,10、22、9,,,
24,停雨,0,0,0,-1,0,TRUE,0,0,11、12、13、14,,,
25,秋异常,3,0,0,0,0,FALSE,6,15,,,,今年气候异常，错过了播种机会！
26,超低温,0,-200,0,0,0,TRUE,5,20,1、2、30,27、20,cold,温度过低，整块田地都冻成了一块！
27,低温,0,-250,0,0,0,TRUE,1,10,1、2、30,20,,郊区温度过低，大大增加供暖成本！
28,沙尘前,0,0,100,0,-10,TRUE,0,0,19、5,,,
29,入夏,2,0,0,0,0,TRUE,0,0,20、23,30、2,,
30,夏异常,2,0,0,0,0,FALSE,0,0,25,,,
