ID,name,季节,温度,云,雨,水,前置,积分,信仰,激活,关闭,动画,报告
int,string,int,float,float,float,float,bool,int,int,List<int>,List<int>,string,string
0,降温,0,-305,0,0,0,FALSE,0,0,16、17,,hotE,
1,升温,0,273,0,0,0,FALSE,0,0,18、19,,coldE,
2,灭火,0,0,0,100,0,FALSE,0,0,3,,fireE,
3,山火,0,310,0,0,-10,FALSE,6,25,2,6,fire,天干物燥，小心山火！
4,降水,0,0,0,0,-3000,FALSE,0,0,15,,mudE,
5,升水,0,0,0,0,100,FALSE,0,0,8,3、6、7,dryE,
6,干旱,0,0,0,0,-10,FALSE,6,25,5,3,dry,连日大旱，植被干枯！
7,干旱前2,0,0,0,0,-10,FALSE,0,0,3、6、5,,,
8,干旱前1,0,0,0,0,-10,TRUE,0,0,7、5,,,
9,雾散,0,0,-500,0,0,FALSE,0,0,10,,fogE,
10,大雾,0,0,3000,0,0,TRUE,5,20,9,,fog,山间大雾，宛如仙境！
11,超暴雨,0,268,0,5000,0,TRUE,13,30,24,,rain,山区出现历史性的降雨！
12,暴雨,0,268,0,2000,0,TRUE,7,10,24,,,一场暴雨冲刷着山间！
13,超暴雪,0,-268,0,3000,0,TRUE,15,40,24,,snow,山区降雪量已达历史之最！
14,暴雪,0,-268,0,1000,0,TRUE,8,10,24,,,暴雪掩埋了山区！
15,洪涝、泥石流,0,268,0,0,5000,TRUE,5,15,4,,mud,山间水量激增，引发了泥石流！
16,超高温,0,373,0,0,0,TRUE,5,20,0,17、21,hot,山区温度已经超出地表范围！
17,高温,0,313,0,0,0,TRUE,1,10,0,21,,山区温度过高！
18,超低温,0,-200,0,0,0,TRUE,5,20,1,19、20,cold,温度过低，山区已无生命迹象！
19,低温,0,-250,0,0,0,TRUE,1,10,1,20,,寒风阵阵，自山上下来！
20,夏季冷,2,-278,0,0,0,TRUE,2,15,22,,,夏季降温，山上已布满落叶！
21,冬季热,4,300,0,0,0,TRUE,2,15,23,,,冬季高温，候鸟提前回归！！
22,入秋,3,0,0,0,0,TRUE,0,0,21,,,
23,入春,1,0,0,0,0,TRUE,0,0,20,,,
24,停雨,0,0,0,-1,0,TRUE,0,0,11、12、13、14,,,
