ID,name,季节,温度,云,雨,水,前置,积分,信仰,激活,关闭,动画,报告
int,string,int,float,float,float,float,bool,int,int,List<int>,List<int>,string,string
0,降温,0,-305,0,0,0,FALSE,0,0,16、17,,hotE,
1,升温,0,273,0,0,0,FALSE,0,0,18、19、3,,coldE,
2,六月飞霜,2,-268,0,10,0,FALSE,8,10,,,,六月降霜！
3,黑冰,0,-260,0,0,300,TRUE,2,10,1,,,路面结满黑冰，交通瘫痪！
4,降水,0,0,0,0,-3000,FALSE,0,0,15,,floodE,
5,雾散,0,0,-500,0,0,FALSE,0,0,6,,fogE,
6,大雾,0,0,2500,0,0,TRUE,6,20,5,,fog,城中大雾，能见度几乎为零！
7,大风,0,0,1200,0,0,FALSE,3,10,,,wind,大风来袭，城中禁止高空作业！
8,无风,0,0,-1200,0,0,FALSE,0,0,9,7,,
9,大风前,0,0,-700,0,0,TRUE,0,0,7、8,,,
10,星空,0,0,-10,0,0,TRUE,3,20,27,,,城市罕见出现星空！
11,超暴雨,0,268,0,4000,0,TRUE,14,30,24,,rain,市区雨量过载，请市民做好御洪准备！
12,暴雨,0,268,0,2000,0,TRUE,6,10,24,,,暴雨，请市民减少出行！
13,超暴雪,0,-268,0,2500,0,TRUE,16,40,24,,snow,白雪覆盖一层，已超出可除雪范围！
14,暴雪,0,-268,0,1000,0,TRUE,8,10,24,,,暴雪，请市民出行时注意！
15,洪涝,0,268,0,0,5000,TRUE,7,15,4,,flood,洪水入城，请市民待在高处！
16,超高温,0,373,0,0,0,TRUE,5,20,0,17、21,hot,令人绝望的高温进入市区！
17,高温,0,313,0,0,0,TRUE,1,10,0,21,,市区进入高温，请市民做好避暑！
18,超低温,0,-200,0,0,0,TRUE,5,20,1,19、20,cold,城市温度已降至生存极限！
19,低温,0,-250,0,0,0,TRUE,1,10,1,20,,寒潮来袭，市民请做好御寒准备！
20,夏季冷,2,-278,0,0,0,TRUE,2,15,,,,今年夏天看来可以省下一笔空调费！
21,冬季热,4,300,0,0,0,TRUE,2,15,,,,看来今年冬天不用通暖气！
22,入秋,3,0,0,0,0,TRUE,0,0,21、25,,,
23,入春,1,0,0,0,0,TRUE,0,0,20、26,,,
24,停雨,0,0,0,-1,0,TRUE,0,0,11、12、13、14,,,
25,入夏,2,0,0,0,0,TRUE,0,0,2、23,,,
26,入冬,4,0,0,0,0,TRUE,0,0,22,,,
27,多云,0,0,100,0,0,TRUE,0,0,10,,,
