ID,name,季节,温度,云,雨,水,前置,积分,信仰,激活,关闭,动画,报告
int,string,int,float,float,float,float,bool,int,int,List<int>,List<int>,string,string
0,降温,0,-305,0,0,0,FALSE,0,0,16、17,,hotE,
1,升温,0,273,0,0,0,FALSE,0,0,18、19,,coldE,
2,海啸,0,0,0,0,6000,FALSE,15,25,10,15、21、22、23,tsunami,海啸来袭！
3,海面降,0,0,0,0,-2000,TRUE,9,20,5,,decline,海平面降低！
4,海面升,0,0,0,0,7000,TRUE,9,20,6,,rise,海平面上涨！
5,海面回升,0,0,0,0,4000,FALSE,0,0,3,,declineE,
6,海面回降,0,0,0,0,-5500,FALSE,0,0,4,,riseE,
7,大风,0,0,1200,0,0,FALSE,3,10,,,wind,一阵强烈的海风吹向海岸！
8,无风,0,0,-1200,0,0,FALSE,0,0,9,7,,
9,大风前,0,0,-700,0,0,TRUE,0,0,7、8,,,
10,无浪4,0,0,0,0,0,FALSE,0,0,23,2,,
11,超暴雨,0,268,0,3000,0,TRUE,15,35,20,,rain,台风登陆，停止海边一切作业！
12,暴雨,0,268,0,1000,0,TRUE,7,15,20,,,热带风暴接近，请港口做好准备！
13,超暴雪,0,-268,0,2000,0,TRUE,17,45,20,,snow,暴雪完全覆盖海面！
14,暴雪,0,-268,0,750,0,TRUE,9,15,20,,,风雪影响能见度，海边作业停止！
15,无浪3,0,0,0,0,0,FALSE,0,0,10,,,
16,超高温,0,373,0,0,0,TRUE,5,20,0,17、24,hot,沙滩传来螃蟹的香气！
17,高温,0,323,0,0,0,TRUE,1,10,0,24,,高温冲击，海水烫伤！
18,超低温,0,-200,0,0,0,TRUE,5,20,1,19、25,cold,港口冻结！
19,低温,0,-250,0,0,0,TRUE,1,10,1,25,,寒潮入境，禁止入海游泳！
20,停雨,0,0,0,-1,0,TRUE,0,0,11、12、13、14,,,
21,无浪2,0,0,0,0,0,FALSE,0,0,15,,,
22,无浪1,0,0,0,0,0,FALSE,0,0,21,,,
23,蓄浪,0,0,0,0,-5000,TRUE,0,0,2、22,,,
24,入夏,2,0,0,0,0,TRUE,0,0,25、26、27,,,
25,夏季热,2,315,0,0,0,TRUE,2,15,,,,沙滩不再是避暑之地！
26,夏季冷,2,-273,0,0,0,TRUE,2,15,,,,这时候来海边避暑，可能效果有点过了！
27,入秋,3,0,0,0,0,TRUE,0,0,24,,,
